SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	VICTORS_ID	DESCRIPTION
BNDDHPLM_01592	4	163	+	phosphoribosylaminoimidazole_carboxylase_catalyic_subunit	2-161/163	0/0	98.16	65.0	victors	YP_169893.1	Victors_56707997	gi|56707997|ref|YP_169893.1| phosphoribosylaminoimidazole carboxylase catalyic subunit [Francisella tularensis subsp. tularensis SCHU S4]
BNDDHPLM_01624	1	331	+	fructose-1,6-bisphosphatase	4-334/336	0/0	98.51	70.4	victors	YP_001218038.1	Victors_147674062	gi|147674062|ref|YP_001218038.1| fructose-1,6-bisphosphatase [Vibrio cholerae O395]
BNDDHPLM_01629	5	235	+	thiol-disulfide_interchange_protein	1-231/231	0/0	100.0	98.7	victors	NP_439371.2	Victors_30995432	gi|30995432|ref|NP_439371.2| thiol-disulfide interchange protein [Haemophilus influenzae Rd KW20]
BNDDHPLM_01637	1	504	+	amidophosphoribosyltransferase	1-502/504	4/6	99.21	67.8	victors	YP_001216476.1	Victors_147673131	gi|147673131|ref|YP_001216476.1| amidophosphoribosyltransferase [Vibrio cholerae O395]
BNDDHPLM_01641	1	711	+	phosphate_acetyltransferase	1-711/714	2/2	99.44	69.1	victors	YP_001216565.1	Victors_147675254	gi|147675254|ref|YP_001216565.1| phosphate acetyltransferase [Vibrio cholerae O395]
BNDDHPLM_01647	1	287	+	succinyl-CoA_synthetase_subunit_alpha	1-287/290	0/0	98.97	70.7	victors	YP_169538.1	Victors_56707642	gi|56707642|ref|YP_169538.1| succinyl-CoA synthetase subunit alpha [Francisella tularensis subsp. tularensis SCHU S4]
BNDDHPLM_01651	4	343	+	branched-chain_amino_acid_aminotransferase	5-340/340	2/6	98.53	71.3	victors	NP_345345.1	Victors_15900741	gi|15900741|ref|NP_345345.1| branched-chain amino acid aminotransferase [Streptococcus pneumoniae TIGR4]
BNDDHPLM_01662	1	192	+	phosphoheptose_isomerase	1-192/192	0/0	100.0	76.0	victors	NP_454922.1	Victors_16759305	gi|16759305|ref|NP_454922.1| phosphoheptose isomerase [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
BNDDHPLM_01683	1	314	+	thioredoxin_reductase	1-315/321	1/1	97.82	76.5	victors	NP_286765.1	Victors_15800751	gi|15800751|ref|NP_286765.1| thioredoxin reductase [Escherichia coli O157:H7 str. EDL933]
BNDDHPLM_01742	1	643	+	cytochrome_c-type_biogenesis_protein_CcmF	1-644/651	1/1	98.77	63.2	victors	YP_001217579.1	Victors_147674378	gi|147674378|ref|YP_001217579.1| cytochrome c-type biogenesis protein CcmF [Vibrio cholerae O395]
BNDDHPLM_01785	7	807	+	anaerobic_dimethyl_sulfoxide_reductase_subunit_A	3-805/805	4/4	99.38	85.4	victors	YP_001652701.1	Victors_165977108	gi|165977108|ref|YP_001652701.1| anaerobic dimethyl sulfoxide reductase subunit A [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
