# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EJFNJEFF_00001      K03495  294.00 1004.1  4.8e-303 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
  EJFNJEFF_00219      K16960  398.73   93.6   1.1e-27 L-cystine transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K02471  423.33   93.5   9.3e-28 vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
  EJFNJEFF_00219      K02006  338.27   93.4   1.4e-27 cobalt/nickel transport system ATP-binding protein
  EJFNJEFF_00219      K11963  283.10   92.9   1.5e-27 urea transport system ATP-binding protein
  EJFNJEFF_00219      K11607  412.77   91.6   4.3e-27 manganese/iron transport system ATP-binding protein
  EJFNJEFF_00219      K23537  585.10   91.3   4.6e-27 general nucleoside transport system ATP-binding protein
  EJFNJEFF_00219      K21397  381.93   91.0   6.1e-27 ABC transport system ATP-binding/permease protein
  EJFNJEFF_00219      K10548  728.90   90.9   6.1e-27 putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
  EJFNJEFF_00219      K17063  443.53   90.9   7.9e-27 arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K11050  352.17   90.4   1.1e-26 multidrug/hemolysin transport system ATP-binding protein
  EJFNJEFF_00219      K05665 1609.37   89.8   9.6e-27 ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]
  EJFNJEFF_00219      K20459  368.60   89.4   2.6e-26 lantibiotic transport system ATP-binding protein
  EJFNJEFF_00219      K19079  442.77   88.0   5.5e-26 cationic antimicrobial peptide transport system ATP-binding protein
  EJFNJEFF_00219      K00400  550.73   87.4   8.1e-26 methyl coenzyme M reductase system, component A2
  EJFNJEFF_00219      K19309  421.43   87.2   1.2e-25 bacitracin transport system ATP-binding protein
  EJFNJEFF_00219      K15587  334.70   86.3   1.8e-25 nickel transport system ATP-binding protein [EC:7.2.2.11]
  EJFNJEFF_00219      K10008  419.40   86.3   1.6e-25 glutamate transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K11962  317.53   86.3   2.1e-25 urea transport system ATP-binding protein
  EJFNJEFF_00219      K24846  517.97   85.7   2.1e-25 ATP-binding cassette, subfamily B, bacterial PglK [EC:7.5.2.-]
  EJFNJEFF_00219      K16920  345.40   84.7     6e-25 acetoin utilization transport system ATP-binding protein
  EJFNJEFF_00219      K10195  580.17   83.7   1.2e-24 oligogalacturonide transport system ATP-binding protein
  EJFNJEFF_00219      K16784  271.17   83.4   1.5e-24 biotin transport system ATP-binding protein [EC:7.6.2.-]
  EJFNJEFF_00219      K10823  490.13   82.8   2.6e-24 oligopeptide transport system ATP-binding protein
  EJFNJEFF_00219      K10558  574.93   82.2   2.9e-24 AI-2 transport system ATP-binding protein
  EJFNJEFF_00219      K15558       -   82.2   4.3e-24 phthalate transport system ATP-binding protein
  EJFNJEFF_00219      K06074  240.47   81.7   5.7e-24 vitamin B12 transport system ATP-binding protein [EC:7.6.2.8]
  EJFNJEFF_00219      K16907  356.07   81.2   6.9e-24 fluoroquinolone transport system ATP-binding protein [EC:7.6.2.-]
  EJFNJEFF_00219      K17210  668.87   80.8   7.3e-24 inositol transport system ATP-binding protein
  EJFNJEFF_00219      K23058  443.10   80.7     9e-24 putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K18889  664.70   80.5   9.2e-24 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K10539  699.13   80.4   7.8e-24 L-arabinose transport system ATP-binding protein [EC:7.5.2.12]
  EJFNJEFF_00219      K16921  284.73   80.4   1.1e-23 acetoin utilization transport system ATP-binding protein
  EJFNJEFF_00219      K13892  956.43   79.6   1.7e-23 glutathione transport system ATP-binding protein
  EJFNJEFF_00219      K23064  411.13   79.3   2.2e-23 hydroxyproline transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K17215  730.17   79.1   2.2e-23 inositol transport system ATP-binding protein
  EJFNJEFF_00219      K11085  724.80   78.5   2.2e-23 ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]
  EJFNJEFF_00219      K19349  649.47   78.2   4.3e-23 pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein
  EJFNJEFF_00219      K10021  430.80   78.1   5.1e-23 octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K23188  450.77   77.7   8.1e-23 ferric enterobactin transport system ATP-binding protein [EC:7.2.2.17]
  EJFNJEFF_00219      K05674 1496.80   76.7   7.8e-23 ATP-binding cassette, subfamily C (CFTR/MRP), member 10
  EJFNJEFF_00219      K17325  441.30   76.5   1.8e-22 glycerol transport system ATP-binding protein
  EJFNJEFF_00219      K19083  405.17   75.9   2.6e-22 bacitracin transport system ATP-binding protein
  EJFNJEFF_00219      K19230  330.53   75.8   3.1e-22 cationic peptide transport system ATP-binding protein
  EJFNJEFF_00219      K13409  689.87   75.4   2.3e-22 ATP-binding cassette, subfamily B, bacterial CvaB/MchF/RaxB
  EJFNJEFF_00219      K12372  454.97   75.1     6e-22 dipeptide transport system ATP-binding protein
  EJFNJEFF_00219      K05780  229.80   73.5   1.6e-21 alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]
  EJFNJEFF_00219      K20485  585.63   72.8   1.9e-21 ATP-binding cassette, subfamily B, bacterial NisT/SpaT
  EJFNJEFF_00219      K10551  678.97   71.8   4.1e-21 D-allose transport system ATP-binding protein [EC:7.5.2.8]
  EJFNJEFF_00219      K17204  627.63   71.2   4.6e-21 erythritol transport system ATP-binding protein
  EJFNJEFF_00219      K10025  455.37   71.1   7.9e-21 arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K18887  706.87   70.3     1e-20 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K02018  245.83   69.4   2.4e-20 molybdate transport system permease protein
  EJFNJEFF_00219      K18232  469.97   69.4   3.2e-20 oleandomycin transport system ATP-binding protein
  EJFNJEFF_00219      K10542  730.20   68.9   3.1e-20 methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11]
  EJFNJEFF_00219      K10822  138.23   68.7   4.8e-20 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
  EJFNJEFF_00219      K10017  469.17   67.7     8e-20 histidine transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K05666 1809.23   67.0   3.7e-20 ATP-binding cassette, subfamily C (CFTR/MRP), member 2
  EJFNJEFF_00219      K15583  505.27   66.5   1.8e-19 oligopeptide transport system ATP-binding protein
  EJFNJEFF_00219      K11957  373.70   65.0   4.7e-19 neutral amino acid transport system ATP-binding protein
  EJFNJEFF_00219      K10000  348.87   64.8   7.4e-19 arginine transport system ATP-binding protein [EC:7.4.2.1]
  EJFNJEFF_00219      K11004  957.20   64.8   4.4e-19 ATP-binding cassette, subfamily B, bacterial HlyB/CyaB
  EJFNJEFF_00219      K24708  677.63   64.7   4.5e-19 ATP-binding cassette, subfamily B, putative efflux pump [EC:7.6.2.-]
  EJFNJEFF_00219      K09689  222.77   64.6   9.5e-19 capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
  EJFNJEFF_00219      K07128  138.13   64.2     9e-19 uncharacterized protein
  EJFNJEFF_00219      K24911  474.00   64.2   8.6e-19 ATP-binding cassette, subfamily B, bacterial RamB/AmfA
  EJFNJEFF_00219      K23547  642.20   64.1   8.7e-19 sugar transport system ATP-binding protein
  EJFNJEFF_00219      K06174  279.07   62.5   2.6e-18 ATP-binding cassette, sub-family E, member 1
  EJFNJEFF_00219      K12531  996.53   62.4   2.2e-18 ATP-binding cassette, subfamily B, bacterial RtxE
  EJFNJEFF_00219      K17207  725.97   62.3   3.4e-18 putative xylitol transport system ATP-binding protein
  EJFNJEFF_00219      K10554  390.77   61.5   7.7e-18 fructose transport system ATP-binding protein
  EJFNJEFF_00219      K14699  603.53   60.8   9.9e-18 ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]
  EJFNJEFF_00219      K20386       -   60.7   6.9e-18 ATP-binding cassette, subfamily B, bacterial CylB
  EJFNJEFF_00219      K05833  184.70   59.9   2.1e-17 putative tryptophan/tyrosine transport system ATP-binding protein
  EJFNJEFF_00219      K12541  666.57   59.3   1.6e-17 ATP-binding cassette, subfamily C, bacterial LapB
  EJFNJEFF_00219      K18893  780.17   58.5   4.2e-17 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K24712 1113.77   58.4   3.4e-17 D-galactose transport system ATP-binding protein [EC:7.5.2.11]
  EJFNJEFF_00219      K09693  382.27   58.2   7.9e-17 teichoic acid transport system ATP-binding protein [EC:7.5.2.4]
  EJFNJEFF_00219      K23513  732.80   56.4   1.5e-16 riboflavin transport system ATP-binding protein
  EJFNJEFF_00219      K18895 2293.67   56.3   1.1e-16 ATP-binding cassette, subfamily B, salmochelin/enterobactin exporter
  EJFNJEFF_00219      K24819  791.70   56.3     2e-16 ATP-binding cassette, subfamily B, beta-glucan exporter [EC:7.5.2.3]
  EJFNJEFF_00219      K06159  568.50   55.0   4.5e-16 multidrug/microcin transport system ATP-binding/permease protein
  EJFNJEFF_00219      K12371  494.00   55.0   6.5e-16 dipeptide transport system ATP-binding protein
  EJFNJEFF_00219      K18890  711.33   54.4   6.8e-16 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K18894 2140.17   53.7   6.8e-16 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K12530  976.60   53.7   1.2e-15 ATP-binding cassette, subfamily B, bacterial RtxB
  EJFNJEFF_00219      K12536  499.00   53.6   1.1e-15 ATP-binding cassette, subfamily C, type I secretion system permease/ATPase
  EJFNJEFF_00219      K16202  569.93   52.5   3.2e-15 dipeptide transport system ATP-binding protein
  EJFNJEFF_00219      K18104  618.43   52.2   2.7e-15 ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]
  EJFNJEFF_00219      K05781  277.20   52.1   4.8e-15 putative phosphonate transport system ATP-binding protein
  EJFNJEFF_00219      K06020  634.97   51.7   6.5e-15 energy-dependent translational throttle protein EttA
  EJFNJEFF_00219      K14698  616.33   51.5   5.6e-15 ATP-binding cassette, subfamily B, bacterial IrtA/YbtP [EC:7.-.-.-]
  EJFNJEFF_00219      K09691  389.20   51.4     9e-15 lipopolysaccharide transport system ATP-binding protein
  EJFNJEFF_00219      K18230  480.77   50.7   9.2e-15 macrolide transport system ATP-binding/permease protein
  EJFNJEFF_00219      K02069  171.43   50.5   1.4e-14 UDP-glucose/iron transport system permease protein
  EJFNJEFF_00219      K18216  852.50   48.6   3.8e-14 ATP-binding cassette, subfamily B, tetracycline resistant protein
  EJFNJEFF_00219      K12292 1390.20   48.5   4.5e-14 ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]
  EJFNJEFF_00219      K02034  266.17   47.2   1.4e-13 peptide/nickel transport system permease protein
  EJFNJEFF_00219      K24821  862.80   45.4   3.2e-13 ATP-binding cassette, subfamily B, heavy metal transporter
  EJFNJEFF_00219      K21480  201.07   45.3   4.6e-13 heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]
  EJFNJEFF_00219      K18891  788.30   41.2   6.5e-12 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K06160  581.33   39.0   3.4e-11 putative pyoverdin transport system ATP-binding/permease protein
  EJFNJEFF_00219      K09013  164.80   38.6   5.7e-11 Fe-S cluster assembly ATP-binding protein
  EJFNJEFF_00219      K24910  513.23   38.3   5.4e-11 ATP-binding cassette, subfamily B, bacterial RamA/AmfB
  EJFNJEFF_00219      K19229  463.93   36.6   2.5e-10 cationic peptide transport system ATP-binding protein
  EJFNJEFF_00219      K16917  222.10   35.5   8.4e-10 putative peptide transport system ATP-binding protein
  EJFNJEFF_00219      K24820 1115.40   34.1   9.3e-10 ATP-binding cassette, subfamily B, fatty acid transporter
  EJFNJEFF_00219      K18892  766.33   31.2     7e-09 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K03546  166.57   30.9   1.1e-08 DNA repair protein SbcC/Rad50
  EJFNJEFF_00219      K06161 1053.50   30.9   9.4e-09 putative syringomycin transport system ATP-binding/permease protein
  EJFNJEFF_00219      K03701  370.63   29.1   2.2e-08 excinuclease ABC subunit A
  EJFNJEFF_00219      K18888  706.20   25.7   3.3e-07 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_00219      K22923  507.43   23.0   4.2e-06 Vi polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
  EJFNJEFF_00219      K06949  100.63   21.3   1.3e-05 ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
  EJFNJEFF_00219      K18217  818.97   17.3   0.00012 ATP-binding cassette, subfamily B, tetracycline resistant protein
  EJFNJEFF_00219      K01998  242.57   17.0   0.00018 branched-chain amino acid transport system permease protein
  EJFNJEFF_00219      K19171  178.13   16.4   0.00026 DNA sulfur modification protein DndD
  EJFNJEFF_00219      K08316   91.13   15.6   0.00088 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
  EJFNJEFF_00219      K10544  407.07   12.6    0.0035 D-xylose transport system permease protein
  EJFNJEFF_00219      K03629  116.43   12.4    0.0046 DNA replication and repair protein RecF
  EJFNJEFF_00219      K06947  140.53   12.3    0.0052 polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [EC:2.7.1.-]
  EJFNJEFF_00219      K00951  725.90   11.1    0.0095 GTP pyrophosphokinase [EC:2.7.6.5]
* EJFNJEFF_00220      K12247  374.07  559.8  1.6e-169 alpha-2,3 sialyltransferase [EC:2.4.99.-]
* EJFNJEFF_00221      K01784  268.07  438.0  7.6e-132 UDP-glucose 4-epimerase [EC:5.1.3.2]
  EJFNJEFF_00221      K12448  481.10  382.5  2.2e-115 UDP-arabinose 4-epimerase [EC:5.1.3.5]
  EJFNJEFF_00221      K08679  364.87  195.6   1.8e-58 UDP-glucuronate 4-epimerase [EC:5.1.3.6]
  EJFNJEFF_00221      K02473  430.43  177.0   5.4e-53 UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]
  EJFNJEFF_00221      K01710  479.63  171.8   2.7e-51 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
  EJFNJEFF_00221      K15856  287.90  165.0   2.9e-49 GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281]
  EJFNJEFF_00221      K12454  273.83  153.0   9.3e-46 CDP-paratose 2-epimerase [EC:5.1.3.10]
  EJFNJEFF_00221      K12450  570.57  134.2   4.7e-40 UDP-glucose 4,6-dehydratase [EC:4.2.1.76]
  EJFNJEFF_00221      K08678  503.47  124.1   6.3e-37 UDP-glucuronate decarboxylase [EC:4.1.1.35]
  EJFNJEFF_00221      K19997  236.17  122.4   2.3e-36 GlcNAc-P-P-Und epimerase [EC:5.1.3.26]
  EJFNJEFF_00221      K22320  330.53  118.3   4.1e-35 2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412]
  EJFNJEFF_00221      K03274  281.20  114.9   4.5e-34 ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
  EJFNJEFF_00221      K01709  280.90  113.0   1.4e-33 CDP-glucose 4,6-dehydratase [EC:4.2.1.45]
  EJFNJEFF_00221      K22252  265.03  109.8   1.5e-32 GDP-6-deoxy-D-talose 4-dehydrogenase [EC:1.1.1.135]
  EJFNJEFF_00221      K21332  482.13  108.9   2.9e-32 dTDP-alpha-D-glucuronic acid decarboxylase [EC:1.1.1.-]
  EJFNJEFF_00221      K21211  560.97  106.0   1.9e-31 NDP-hexose 4,6-dehydratase
  EJFNJEFF_00221      K17947  254.13  102.5   2.4e-30 dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
  EJFNJEFF_00221      K12453  277.73   89.9   1.7e-26 CDP-paratose synthetase [EC:1.1.1.342]
  EJFNJEFF_00221      K22025  218.30   87.2   1.2e-25 D-erythronate 2-dehydrogenase [EC:1.1.1.410]
  EJFNJEFF_00221      K21214  236.87   86.2   2.2e-25 NDP-hexose 4-ketoreductase
  EJFNJEFF_00221      K12408  432.70   74.5   6.6e-22 cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase [EC:1.1.1.181]
  EJFNJEFF_00221      K10046  296.00   71.6   5.4e-21 GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]
  EJFNJEFF_00221      K02377  221.20   70.6   1.2e-20 GDP-L-fucose synthase [EC:1.1.1.271]
  EJFNJEFF_00221      K22925  787.87   70.4   1.2e-20 UDP-N-acetylglucosaminuronic acid 4-epimerase [EC:5.1.3.-]
  EJFNJEFF_00221      K18981  277.97   67.4   1.2e-19 uronate dehydrogenase [EC:1.1.1.203]
  EJFNJEFF_00221      K00091  398.80   64.2     1e-18 dihydroflavonol-4-reductase [EC:1.1.1.219]
  EJFNJEFF_00221      K00067  131.90   63.2   2.2e-18 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
  EJFNJEFF_00221      K12455  334.53   58.7   5.4e-17 CDP-abequose synthase [EC:1.1.1.341]
  EJFNJEFF_00221      K15894  316.30   58.2   5.8e-17 UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]
  EJFNJEFF_00221      K24311  489.20   57.0   2.1e-16 UDP-4-keto-6-deoxy-GlcNAc-4-reductase [EC:1.1.1.-]
  EJFNJEFF_00221      K16045  629.13   55.6   3.8e-16 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
  EJFNJEFF_00221      K15891  309.53   54.3     1e-15 NAD+-dependent farnesol dehydrogenase [EC:1.1.1.354]
  EJFNJEFF_00221      K15789  210.80   53.2   2.3e-15 threonine 3-dehydrogenase [EC:1.1.1.103]
  EJFNJEFF_00221      K19243  260.60   52.6   4.5e-15 NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
  EJFNJEFF_00221      K06118  322.83   48.9     5e-14 UDP-sulfoquinovose synthase [EC:3.13.1.1]
  EJFNJEFF_00221      K01711  274.53   47.6   1.1e-13 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
  EJFNJEFF_00221      K13313  471.63   47.5   1.1e-13 dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364]
  EJFNJEFF_00221      K19180       -   42.7   4.7e-12 dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+) [EC:1.1.1.339]
  EJFNJEFF_00221      K24312       -   38.3   7.4e-11 UDP-4-keto-D-FucNAc 4-reductase
  EJFNJEFF_00221      K00059  271.37   35.8   4.6e-10 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
  EJFNJEFF_00221      K19068  176.07   35.6   4.9e-10 UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]
  EJFNJEFF_00221      K07071  120.83   34.5   9.7e-10 uncharacterized protein
  EJFNJEFF_00221      K23557  444.50   34.2     7e-10 3beta-hydroxysteroid-4beta-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.417]
  EJFNJEFF_00221      K24310  709.03   34.0   1.7e-09 UDP-4-keto-D-QuiNAc 4-reductase [EC:1.1.1.-]
  EJFNJEFF_00221      K12449  319.60   31.9     5e-09 UDP-apiose/xylose synthase
  EJFNJEFF_00221      K15912  759.00   31.5   6.7e-09 UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]
  EJFNJEFF_00221      K21793       -   30.9   1.5e-08 oxidoreductase
  EJFNJEFF_00221      K05281  179.93   30.3   2.1e-08 2'-hydroxyisoflavone reductase [EC:1.3.1.45]
  EJFNJEFF_00221      K24300  928.50   28.2   4.9e-08 UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]
  EJFNJEFF_00221      K19421 1156.23   28.0   7.7e-08 polysaccharide biosynthesis protein EpsC
  EJFNJEFF_00221      K00216  241.83   27.4   1.7e-07 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
  EJFNJEFF_00221      K12434 2432.40   27.0   8.2e-08 polyketide synthase 7
  EJFNJEFF_00221      K00034  345.10   26.8   2.1e-07 glucose 1-dehydrogenase [EC:1.1.1.47]
  EJFNJEFF_00221      K19548  387.83   26.5   3.7e-07 dihydroanticapsin dehydrogenase [EC:1.1.1.385]
  EJFNJEFF_00221      K22185  352.00   26.4   4.1e-07 D-xylose 1-dehydrogenase [EC:1.1.1.175]
  EJFNJEFF_00221      K18335  258.53   25.9   5.9e-07 2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]
  EJFNJEFF_00221      K07535  317.37   25.6   5.2e-07 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]
  EJFNJEFF_00221      K12443 1921.30   25.3   2.8e-07 phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D [EC:2.3.1.292]
  EJFNJEFF_00221      K22215  373.70   25.3   7.6e-07 galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]
  EJFNJEFF_00221      K03366  323.60   24.8   7.4e-07 meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
  EJFNJEFF_00221      K19336  324.33   24.7   1.6e-06 cyclic-di-GMP-binding biofilm dispersal mediator protein
  EJFNJEFF_00221      K18009  304.03   24.6   1.2e-06 meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
  EJFNJEFF_00221      K00065  323.57   23.7   1.7e-06 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
  EJFNJEFF_00221      K08683  247.70   23.6   2.2e-06 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
  EJFNJEFF_00221      K21883  280.97   23.4   3.3e-06 2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+) [EC:1.1.1.401]
  EJFNJEFF_00221      K07118  129.97   23.1   5.2e-06 uncharacterized protein
  EJFNJEFF_00221      K15734  247.73   22.9   3.7e-06 all-trans-retinol dehydrogenase (NAD+) [EC:1.1.1.105]
  EJFNJEFF_00221      K17742  308.63   22.9     4e-06 sorbose reductase [EC:1.1.1.289]
  EJFNJEFF_00221      K13612 2072.20   22.5   7.7e-07 polyketide synthase PksL
  EJFNJEFF_00221      K19267  132.03   22.5     6e-06 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  EJFNJEFF_00221      K00076  275.37   21.7   7.4e-06 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
  EJFNJEFF_00221      K08261  422.27   21.4   1.2e-05 D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21]
  EJFNJEFF_00221      K13614 5687.77   21.2   1.4e-06 polyketide synthase PksN
  EJFNJEFF_00221      K00038  295.53   21.1   1.1e-05 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
  EJFNJEFF_00221      K03793  235.73   20.8   1.8e-05 pteridine reductase [EC:1.5.1.33]
  EJFNJEFF_00221      K19073  270.50   20.7   1.7e-05 divinyl chlorophyllide a 8-vinyl-reductase [EC:1.3.1.75]
  EJFNJEFF_00221      K00068  267.73   20.3   3.7e-05 sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
  EJFNJEFF_00221      K12441 1447.17   19.7   1.5e-05 phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase B [EC:2.3.1.292]
  EJFNJEFF_00221      K00069  203.70   19.6   3.1e-05 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
  EJFNJEFF_00221      K19204 15859.23   18.9   4.1e-06 pimaricinolide synthase PimS2
  EJFNJEFF_00221      K00023  325.30   18.3   0.00013 acetoacetyl-CoA reductase [EC:1.1.1.36]
  EJFNJEFF_00221      K24564 4824.00   18.3   1.8e-05 6-deoxyerythronolide B synthase EryAIII [EC:2.3.1.94]
  EJFNJEFF_00221      K13611 2569.40   18.1   1.4e-05 polyketide synthase PksJ
  EJFNJEFF_00221      K00039  256.13   17.5   0.00028 ribitol 2-dehydrogenase [EC:1.1.1.56]
  EJFNJEFF_00221      K21620  382.67   17.5   0.00019 galactitol 2-dehydrogenase [EC:1.1.1.16]
  EJFNJEFF_00221      K16439  653.87   17.4   0.00021 reductase EvaE
  EJFNJEFF_00221      K10780  259.07   16.9   0.00032 enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]
  EJFNJEFF_00221      K04791  856.70   16.9   0.00011 mycobactin polyketide synthetase MbtD
  EJFNJEFF_00221      K13318  435.27   16.8    0.0003 dTDP-4-keto-6-deoxy-L-hexose 4-reductase [EC:1.1.1.-]
  EJFNJEFF_00221      K10620  310.40   16.7   0.00046 2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase [EC:1.3.1.58]
  EJFNJEFF_00221      K13013 1109.87   16.6   0.00022 O-antigen biosynthesis protein WbqV
  EJFNJEFF_00221      K14189  186.47   15.9   0.00065 uncharacterized oxidoreductase [EC:1.-.-.-]
  EJFNJEFF_00221      K05296  300.57   15.7    0.0007 3(or 17)beta-hydroxysteroid dehydrogenase [EC:1.1.1.51]
  EJFNJEFF_00221      K12439  844.10   15.6   0.00045 polyketide synthase 17
  EJFNJEFF_00221      K00046  315.37   15.4   0.00068 gluconate 5-dehydrogenase [EC:1.1.1.69]
  EJFNJEFF_00221      K16652  182.33   15.0   0.00097 decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333]
  EJFNJEFF_00221      K18333  239.23   14.6    0.0015 L-fucose dehydrogenase
  EJFNJEFF_00221      K18836       -   14.5    0.0018 reductase VcaE
  EJFNJEFF_00221      K00019  258.07   14.5    0.0014 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
  EJFNJEFF_00221      K05711  386.07   13.8    0.0024 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]
  EJFNJEFF_00221      K16032       -   13.7   0.00042 ansamitocin polyketide synthase D
  EJFNJEFF_00221      K04786 1151.67   13.3   0.00056 yersiniabactin nonribosomal peptide/polyketide synthase
  EJFNJEFF_00221      K17754  361.97   13.1    0.0042 cyclopentanol dehydrogenase [EC:1.1.1.163]
  EJFNJEFF_00221      K15670 4694.40   13.0   0.00046 rifamycin polyketide synthase modules 1, 2 and 3
  EJFNJEFF_00221      K12420  308.37   12.9     0.006 ketoreductase [EC:1.1.1.-]
  EJFNJEFF_00221      K12433 3386.27   12.9    0.0011 polyketide synthase 5
  EJFNJEFF_00221      K13322       -   12.8     0.005 dTDP-4-keto-6-deoxyhexose 4-ketoreductase
  EJFNJEFF_00221      K12430 3283.17   12.8   0.00097 4-hydroxyphenylalkanoate synthase [EC:2.3.1.261]
  EJFNJEFF_00221      K13938  213.87   12.5    0.0064 dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3]
  EJFNJEFF_00221      K18609  375.50   12.3    0.0079 pyridoxal 4-dehydrogenase [EC:1.1.1.107]
