# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EBNMPBKG_00007      K12297  549.43 1052.1         0 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]
  EBNMPBKG_00502      K18234  238.47   38.9   6.5e-11 virginiamycin A acetyltransferase [EC:2.3.1.-]
  EBNMPBKG_00502      K15913  215.67   36.7   2.6e-10 UDP-N-acetylbacillosamine N-acetyltransferase [EC:2.3.1.203]
  EBNMPBKG_00502      K00638  238.93   36.0   4.7e-10 chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
  EBNMPBKG_00502      K24872  187.93   35.2   6.8e-10 heptaprenylglycerol acetyltransferase [EC:2.3.1.-]
  EBNMPBKG_00502      K13006  235.60   34.2   1.6e-09 UDP-perosamine 4-acetyltransferase [EC:2.3.1.-]
  EBNMPBKG_00502      K03818  152.37   33.4   2.7e-09 putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]
  EBNMPBKG_00502      K02536  191.77   33.0   2.8e-09 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
  EBNMPBKG_00502      K08699  167.37   32.3   6.6e-09 carbon dioxide concentrating mechanism protein CcmN
  EBNMPBKG_00502      K08280  269.00   28.9   6.4e-08 lipopolysaccharide O-acetyltransferase [EC:2.3.1.-]
  EBNMPBKG_00502      K24281  303.97   24.4   1.5e-06 UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-idosamine acetyltransferase [EC:2.3.1.-]
  EBNMPBKG_00502      K00677  167.63   20.3     2e-05 UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
  EBNMPBKG_00502      K01726  189.80   19.9   3.4e-05 gamma-carbonic anhydrase [EC:4.2.1.-]
  EBNMPBKG_00502      K23144  273.03   18.8     7e-05 UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.7.7.24 2.7.7.83 2.3.1.157 2.3.1.276]
  EBNMPBKG_00502      K21379  301.17   18.4   0.00013 dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase [EC:2.3.1.209]
  EBNMPBKG_00502      K22247       -   18.1    0.0001 polysialic-acid O-acetyltransferase [EC:2.3.1.136]
  EBNMPBKG_00502      K02617  261.60   16.4   0.00046 phenylacetic acid degradation protein
  EBNMPBKG_00502      K16881  547.73   15.7    0.0003 mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]
  EBNMPBKG_00502      K00674  159.90   14.4    0.0017 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
  EBNMPBKG_00502      K01743  243.87   13.8    0.0021 carbonic anhydrase [EC:4.2.1.1]
  EBNMPBKG_00502      K04042  320.07   12.7    0.0018 bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
  EBNMPBKG_00502      K00975  196.13   11.9    0.0058 glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
  EBNMPBKG_00502      K00966  300.97   10.2     0.019 mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
  EBNMPBKG_00502      K08279  337.23    8.8       0.1 carnitine operon protein CaiE
* EBNMPBKG_00503      K00014  194.37  239.8   4.9e-72 shikimate dehydrogenase [EC:1.1.1.25]
  EBNMPBKG_00503      K13832  377.53  202.8   9.3e-61 3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]
  EBNMPBKG_00503      K05887  432.17  160.5   4.1e-48 quinate/shikimate dehydrogenase [EC:1.1.1.282]
  EBNMPBKG_00503      K02492   75.30   21.1   1.1e-05 glutamyl-tRNA reductase [EC:1.2.1.70]
  EBNMPBKG_00503      K18118  681.20   13.3    0.0019 succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
  EBNMPBKG_00503      K00286  135.90   12.4    0.0039 pyrroline-5-carboxylate reductase [EC:1.5.1.2]
  EBNMPBKG_00503      K12972  302.97   11.4     0.012 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
* EBNMPBKG_00504      K14445  165.60  412.6  3.4e-124 solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5
  EBNMPBKG_00504      K03319  477.73  115.7   2.1e-34 divalent anion:Na+ symporter, DASS family
  EBNMPBKG_00504      K11106  655.73   79.5     3e-23 L-tartrate/succinate antiporter
  EBNMPBKG_00504      K03893  185.30   56.8   1.2e-16 arsenical pump membrane protein
  EBNMPBKG_00504      K09477  818.27   49.9   2.8e-14 citrate:succinate antiporter
  EBNMPBKG_00504      K03299   83.07   27.5   9.7e-08 gluconate:H+ symporter, GntP family
  EBNMPBKG_00504      K21393  485.17   14.8   0.00066 TRAP-type transport system large permease protein
  EBNMPBKG_00504      K02847  112.63    7.6      0.13 O-antigen ligase [EC:2.4.1.-]
  EBNMPBKG_00504      K08986   79.17    6.5      0.31 putative membrane protein
* EBNMPBKG_00505      K01491  398.97  459.5  1.2e-138 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
  EBNMPBKG_00505      K00288 1429.40  331.1   1.2e-99 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
  EBNMPBKG_00505      K00295  204.70  102.2   2.9e-30 methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
  EBNMPBKG_00505      K00065  323.57   23.4   1.9e-06 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
  EBNMPBKG_00505      K00034  345.10   23.3   2.1e-06 glucose 1-dehydrogenase [EC:1.1.1.47]
  EBNMPBKG_00505      K00046  315.37   21.6   8.1e-06 gluconate 5-dehydrogenase [EC:1.1.1.69]
  EBNMPBKG_00505      K00059  271.37   21.3   1.1e-05 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
  EBNMPBKG_00505      K03331  249.07   20.5   1.9e-05 L-xylulose reductase [EC:1.1.1.10]
  EBNMPBKG_00505      K11163  210.70   19.7   2.7e-05 dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-]
  EBNMPBKG_00505      K14330  237.97   19.6   3.5e-05 fatty aldehyde-generating acyl-ACP reductase [EC:1.2.1.80]
  EBNMPBKG_00505      K10780  259.07   19.5   4.7e-05 enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]
  EBNMPBKG_00505      K00039  256.13   18.7   0.00011 ribitol 2-dehydrogenase [EC:1.1.1.56]
  EBNMPBKG_00505      K04708  223.07   18.7   5.3e-05 3-dehydrosphinganine reductase [EC:1.1.1.102]
  EBNMPBKG_00505      K00076  275.37   18.5   6.4e-05 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
  EBNMPBKG_00505      K21883  280.97   16.1   0.00054 2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+) [EC:1.1.1.401]
  EBNMPBKG_00505      K18337  295.70   15.9   0.00044 L-rhamnose 1-dehydrogenase [EC:1.1.1.378 1.1.1.377 1.1.1.173]
  EBNMPBKG_00505      K20434  254.93   15.9   0.00038 cyclitol reductase
  EBNMPBKG_00505      K18335  258.53   15.3   0.00099 2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]
  EBNMPBKG_00505      K19329  375.57   15.1   0.00069 WW domain-containing oxidoreductase
  EBNMPBKG_00505      K21721  264.03   14.6    0.0012 N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase [EC:1.5.1.51]
  EBNMPBKG_00505      K11153  446.60   14.4   0.00099 retinol dehydrogenase 12 [EC:1.1.1.300]
  EBNMPBKG_00505      K18258  355.30   14.3    0.0014 thiomorpholine-carboxylate dehydrogenase [EC:1.5.1.25]
  EBNMPBKG_00505      K11162  471.80   14.3    0.0016 retinol dehydrogenase 14 [EC:1.1.1.-]
  EBNMPBKG_00505      K03366  323.60   14.2    0.0012 meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
  EBNMPBKG_00505      K07535  317.37   14.2    0.0015 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]
  EBNMPBKG_00505      K06410  102.50   14.0    0.0018 dipicolinate synthase subunit A
  EBNMPBKG_00505      K18009  304.03   13.8    0.0022 meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
  EBNMPBKG_00505      K19244  292.37   13.6    0.0025 alanine dehydrogenase [EC:1.4.1.1]
  EBNMPBKG_00505      K20024  248.30   12.8    0.0042 monoglucosyldiacylglycerol epimerase [EC:5.1.3.34]
  EBNMPBKG_00505      K05296  300.57   12.8    0.0049 3(or 17)beta-hydroxysteroid dehydrogenase [EC:1.1.1.51]
  EBNMPBKG_00505      K12420  308.37   12.8    0.0057 ketoreductase [EC:1.1.1.-]
  EBNMPBKG_00505      K14189  186.47   12.6    0.0061 uncharacterized oxidoreductase [EC:1.-.-.-]
  EBNMPBKG_00505      K10620  310.40   12.6    0.0077 2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase [EC:1.3.1.58]
  EBNMPBKG_00505      K00300  356.57   12.6    0.0062 methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]
  EBNMPBKG_00505      K22320  330.53   12.4    0.0052 2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412]
  EBNMPBKG_00505      K13774  354.30   12.2    0.0065 citronellol/citronellal dehydrogenase
  EBNMPBKG_00505      K08261  422.27   12.1    0.0078 D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21]
  EBNMPBKG_00505      K02302  416.10   11.9    0.0062 uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
  EBNMPBKG_00505      K17742  308.63   11.9    0.0082 sorbose reductase [EC:1.1.1.289]
  EBNMPBKG_00505      K01251   72.40   11.8    0.0052 adenosylhomocysteinase [EC:3.3.1.1]
  EBNMPBKG_00505      K00019  258.07   11.7    0.0095 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
  EBNMPBKG_00505      K15734  247.73   11.4      0.01 all-trans-retinol dehydrogenase (NAD+) [EC:1.1.1.105]
  EBNMPBKG_00505      K11152  553.93   11.2     0.011 retinol dehydrogenase 11 [EC:1.1.1.300]
  EBNMPBKG_00505      K19742  421.00   10.9     0.014 1-pyrroline-2-carboxylate reductase [NAD(P)H] [EC:1.5.1.49]
  EBNMPBKG_00505      K11168  264.93   10.5     0.016 dehydrogenase/reductase SDR family member 12 [EC:1.1.-.-]
  EBNMPBKG_00505      K00012  375.77   10.5     0.015 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
  EBNMPBKG_00505      K14468 1652.50   10.3    0.0095 malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298]
* EBNMPBKG_00508      K02429  165.90  467.4  4.1e-141 MFS transporter, FHS family, L-fucose permease
  EBNMPBKG_00508      K08174  219.13   71.7     4e-21 MFS transporter, FHS family, glucose/mannose:H+ symporter
  EBNMPBKG_00508      K08175  163.13   57.1     9e-17 MFS transporter, FHS family, Na+ dependent glucose transporter 1
  EBNMPBKG_00508      K08153  321.57   37.4     1e-10 MFS transporter, DHA1 family, multidrug resistance protein
  EBNMPBKG_00508      K19576  301.13   36.1   3.1e-10 MFS transporter, DHA1 family, quinolone resistance protein
  EBNMPBKG_00508      K08221  259.53   26.5     2e-07 MFS transporter, ACDE family, multidrug resistance protein
  EBNMPBKG_00508      K08167  381.57   22.9   2.1e-06 MFS transporter, DHA2 family, multidrug resistance protein
  EBNMPBKG_00508      K08194  475.20   22.1   4.3e-06 MFS transporter, ACS family, D-galactonate transporter
  EBNMPBKG_00508      K23677  185.20   14.8   0.00067 MFS transporter, Spinster family, sphingosine-1-phosphate transporter
  EBNMPBKG_00508      K19577  372.77   12.5    0.0045 MFS transporter, DHA1 family, inner membrane transport protein
  EBNMPBKG_00508      K08369  355.53   11.4    0.0072 MFS transporter, putative metabolite:H+ symporter
  EBNMPBKG_00508      K03446  350.50   10.3     0.012 MFS transporter, DHA2 family, multidrug resistance protein
  EBNMPBKG_00508      K03292  337.17    3.1         2 glycoside/pentoside/hexuronide:cation symporter, GPH family
  EBNMPBKG_00508      K08166  429.47    1.0       8.9 MFS transporter, DHA2 family, methylenomycin A resistance protein
* EBNMPBKG_00509      K01628  211.03  276.5   2.5e-83 L-fuculose-phosphate aldolase [EC:4.1.2.17]
  EBNMPBKG_00509      K24269  463.20  254.4   6.1e-77 5-deoxyribulose 1-phosphate aldolase [EC:4.1.2.62]
  EBNMPBKG_00509      K03077  225.63  145.3   2.5e-43 L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
  EBNMPBKG_00509      K22130  193.50  139.3   1.3e-41 3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]
  EBNMPBKG_00509      K08964  123.73   58.2   8.7e-17 methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
  EBNMPBKG_00509      K01629  144.27   54.1     1e-15 rhamnulose-1-phosphate aldolase [EC:4.1.2.19]
  EBNMPBKG_00509      K12708  634.80   42.5     4e-12 4-hydroxy-3-prenylphenylpyruvate oxygenase / 4-hydroxy-3-prenylbenzoate synthase [EC:1.13.11.83 1.13.12.23]
  EBNMPBKG_00509      K18613  498.00   38.1   7.6e-11 3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase [EC:4.1.1.51]
  EBNMPBKG_00509      K10622  245.47   37.0   1.8e-10 HCOMODA/2-hydroxy-3-carboxy-muconic semialdehyde decarboxylase [EC:4.1.1.-]
  EBNMPBKG_00509      K18256  401.43   32.0   6.8e-09 3,4-dihydroxyphthalate decarboxylase [EC:4.1.1.69]
  EBNMPBKG_00509      K18847 1001.43   24.7   7.8e-07 fluorothreonine transaldolase [EC:2.2.1.8]
* EBNMPBKG_00510      K02431   57.47  180.9   3.2e-54 L-fucose mutarotase [EC:5.1.3.29]
  EBNMPBKG_00510      K06726  125.60   42.7   4.2e-12 D-ribose pyranase [EC:5.4.99.62]
  EBNMPBKG_00510      K20256  412.00   12.8    0.0048 flavin reductase [EC:1.-.-.-]
* EBNMPBKG_00511      K00879  366.87  516.6  5.4e-156 L-fuculokinase [EC:2.7.1.51]
  EBNMPBKG_00511      K00848  293.50  199.1   8.3e-60 rhamnulokinase [EC:2.7.1.5]
  EBNMPBKG_00511      K11216  401.30  197.8   2.9e-59 autoinducer-2 kinase [EC:2.7.1.189]
  EBNMPBKG_00511      K00854  392.73  189.1   1.6e-56 xylulokinase [EC:2.7.1.17]
  EBNMPBKG_00511      K00880  468.40  175.7   1.2e-52 L-xylulokinase [EC:2.7.1.53]
  EBNMPBKG_00511      K24707  680.57  172.4     1e-51 ribulokinase [EC:2.7.1.16]
  EBNMPBKG_00511      K00864  523.23  150.8   3.8e-45 glycerol kinase [EC:2.7.1.30]
  EBNMPBKG_00511      K00862  533.30  140.3   6.4e-42 erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]
  EBNMPBKG_00511      K00853  346.73   83.5   1.3e-24 L-ribulokinase [EC:2.7.1.16]
  EBNMPBKG_00511      K22935  266.43   75.2   3.8e-22 D-ribulokinase [EC:2.7.1.47]
  EBNMPBKG_00511      K00875  618.87   65.2   5.3e-19 D-ribulokinase [EC:2.7.1.47]
  EBNMPBKG_00511      K19583  598.73   49.9   1.6e-14 putative glycerol kinase 5 [EC:2.7.1.30]
  EBNMPBKG_00511      K11214  278.97   30.4   1.2e-08 sedoheptulokinase [EC:2.7.1.14]
  EBNMPBKG_00511      K00845  242.43   13.5    0.0027 glucokinase [EC:2.7.1.2]
* EBNMPBKG_00512      K01818  278.03 1005.8  5.1e-304 L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]
* EBNMPBKG_00513      K02430  254.53  301.6   3.8e-91 DeoR family transcriptional regulator, L-fucose operon activator
  EBNMPBKG_00513      K03436  279.97  236.8   3.1e-71 DeoR family transcriptional regulator, fructose operon transcriptional repressor
  EBNMPBKG_00513      K02081  287.30  220.0   2.7e-66 DeoR family transcriptional regulator, aga operon transcriptional repressor
  EBNMPBKG_00513      K22103  258.57  217.6   1.5e-65 DeoR family transcriptional regulator, carbon catabolite repression regulator
  EBNMPBKG_00513      K02444  265.23  216.2   4.8e-65 DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
  EBNMPBKG_00513      K06608  264.03  185.7   9.3e-56 DeoR family transcriptional regulator, myo-inositol catabolism operon repressor
  EBNMPBKG_00513      K02468  282.63  184.8     2e-55 DeoR family transcriptional regulator, glucitol operon repressor
  EBNMPBKG_00513      K02530  236.13  180.1   4.7e-54 DeoR family transcriptional regulator, lactose phosphotransferase system repressor
  EBNMPBKG_00513      K11534  216.87  153.0   7.8e-46 DeoR family transcriptional regulator, deoxyribose operon repressor
  EBNMPBKG_00513      K02436  302.67  144.9   2.5e-43 DeoR family transcriptional regulator, galactitol utilization operon repressor
  EBNMPBKG_00513      K03477  264.77  141.9   2.2e-42 DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor
  EBNMPBKG_00513      K20271  483.37  108.2   3.7e-32 DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer
  EBNMPBKG_00513      K09012  125.00   30.6   2.4e-08 DeoR family transcriptional regulator, suf operon transcriptional repressor
  EBNMPBKG_00513      K21601  147.27   29.5   5.1e-08 DeoR family transcriptional regulator, copper-sensing transcriptional repressor
  EBNMPBKG_00513      K10123   57.37   23.1   5.2e-06 putative ferrous iron transport protein C
  EBNMPBKG_00513      K05818  176.77   22.4   4.5e-06 IclR family transcriptional regulator, mhp operon transcriptional activator
  EBNMPBKG_00513      K14348  247.70   21.8   1.1e-05 GntR family transcriptional regulator, L-lactate dehydrogenase operon regulator
  EBNMPBKG_00513      K07725   66.03   21.2   1.4e-05 CRISPR-associated protein Csa3
  EBNMPBKG_00513      K03482  274.83   20.3     2e-05 GntR family transcriptional regulator, glv operon transcriptional regulator
  EBNMPBKG_00513      K03710  184.73   20.0   4.1e-05 GntR family transcriptional regulator
  EBNMPBKG_00513      K01356  130.10   18.1   0.00014 repressor LexA [EC:3.4.21.88]
  EBNMPBKG_00513      K03486  212.03   17.6   0.00021 GntR family transcriptional regulator, trehalose operon transcriptional repressor
  EBNMPBKG_00513      K02565  421.23   17.1   0.00018 N-acetylglucosamine repressor
  EBNMPBKG_00513      K22043  117.93   16.8   0.00039 ArsR family transcriptional regulator, zinc-responsive transcriptional repressor
  EBNMPBKG_00513      K03718  150.43   16.7   0.00029 Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
  EBNMPBKG_00513      K03492  230.33   16.6   0.00037 GntR family transcriptional regulator, regulator of glucomannan utilization
  EBNMPBKG_00513      K11924  135.77   16.5   0.00049 DtxR family transcriptional regulator, manganese transport regulator
  EBNMPBKG_00513      K11922  245.63   16.3   0.00039 GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor
  EBNMPBKG_00513      K21827  333.57   16.1    0.0004 IclR family transcriptional regulator, arginine deiminase pathway regulator
  EBNMPBKG_00513      K02103  273.37   15.9   0.00042 GntR family transcriptional regulator, arabinose operon transcriptional repressor
  EBNMPBKG_00513      K02538  494.67   15.6   0.00037 activator of the mannose operon, transcriptional antiterminator
  EBNMPBKG_00513      K02043  207.43   15.6   0.00076 GntR family transcriptional regulator, phosphonate transport system regulatory protein
  EBNMPBKG_00513      K07732   94.37   15.5   0.00077 riboflavin kinase, archaea type [EC:2.7.1.161]
  EBNMPBKG_00513      K06154  195.30   15.5    0.0011 Lrp/AsnC family transcriptional regulator, involved in the regulation of lysine biosynthesis
  EBNMPBKG_00513      K13573  226.77   15.5   0.00068 proteasome accessory factor C
  EBNMPBKG_00513      K01807   60.00   15.3   0.00063 ribose 5-phosphate isomerase A [EC:5.3.1.6]
  EBNMPBKG_00513      K23774  143.10   15.0    0.0011 DeoR family transcriptional regulator, catabolite repression regulator
  EBNMPBKG_00513      K03489  217.70   14.8     0.001 GntR family transcriptional regulator, transcriptional regulator of bglA
  EBNMPBKG_00513      K03712  118.93   14.8    0.0015 MarR family transcriptional regulator, multiple antibiotic resistance protein MarR
  EBNMPBKG_00513      K05799  135.53   14.6    0.0017 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
  EBNMPBKG_00513      K24033  378.43   14.4    0.0011 proteasome accessory factor BC
  EBNMPBKG_00513      K15782  164.43   14.1    0.0023 Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes
  EBNMPBKG_00513      K10711  253.40   13.6    0.0029 GntR family transcriptional regulator, frlABCD operon transcriptional regulator
  EBNMPBKG_00513      K05836  202.37   13.1    0.0029 GntR family transcriptional regulator, histidine utilization repressor
  EBNMPBKG_00513      K23775   99.17   12.8    0.0066 MarR family transcriptional regulator, organic hydroperoxide resistance regulator
  EBNMPBKG_00513      K13641  274.67   12.8    0.0038 IclR family transcriptional regulator, acetate operon repressor
  EBNMPBKG_00513      K21454  119.03   12.4    0.0081 MarR family transcriptional regulator, teicoplanin-associated locus regulator
  EBNMPBKG_00513      K11692  257.27   12.4    0.0084 two-component system, CitB family, response regulator DctR
  EBNMPBKG_00513      K19333  275.20   12.2    0.0069 IclR family transcriptional regulator, KDG regulon repressor
  EBNMPBKG_00513      K04096   29.37   11.7     0.012 DNA processing protein
  EBNMPBKG_00513      K03711  127.50   11.6     0.012 Fur family transcriptional regulator, ferric uptake regulator
  EBNMPBKG_00513      K19776  217.33   11.4     0.012 GntR family transcriptional regulator, galactonate operon transcriptional repressor
  EBNMPBKG_00513      K03709  118.33   11.4     0.014 DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
  EBNMPBKG_00513      K03892   87.30   11.3     0.023 ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
  EBNMPBKG_00513      K06075  115.47   11.2     0.024 MarR family transcriptional regulator, transcriptional regulator for hemolysin
  EBNMPBKG_00513      K02616   75.50   10.7     0.019 phenylacetic acid degradation operon negative regulatory protein
  EBNMPBKG_00513      K02475  264.33   10.6     0.028 two-component system, CitB family, response regulator
  EBNMPBKG_00513      K16328  220.17    9.9     0.023 pseudouridine kinase [EC:2.7.1.83]
  EBNMPBKG_00513      K22104  222.43    9.9     0.043 GntR family transcriptional regulator, sialic acid-inducible nan operon repressor
* EBNMPBKG_00514      K03580  286.10 1153.9         0 ATP-dependent helicase HepA [EC:3.6.4.-]
  EBNMPBKG_00514      K14440  320.10   56.5   1.4e-16 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:3.6.4.12]
  EBNMPBKG_00514      K07012  142.57   49.4   2.2e-14 CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]
  EBNMPBKG_00514      K01156  151.23   47.2   9.6e-14 type III restriction enzyme [EC:3.1.21.5]
  EBNMPBKG_00514      K19789  339.17   46.5   2.3e-13 DNA repair protein RadD
  EBNMPBKG_00514      K05590  490.97   25.0   6.5e-07 ATP-dependent RNA helicase SrmB [EC:3.6.4.13]
  EBNMPBKG_00514      K05592  540.73   24.7   7.9e-07 ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
  EBNMPBKG_00514      K11927  534.53   23.1   2.4e-06 ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
  EBNMPBKG_00514      K17677  389.83   21.8   5.9e-06 ATP-dependent helicase IRC3 [EC:3.6.4.-]
  EBNMPBKG_00514      K03654  621.37   21.3   7.5e-06 ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
  EBNMPBKG_00514      K03732  539.13   13.9    0.0014 ATP-dependent RNA helicase RhlB [EC:3.6.4.13]
  EBNMPBKG_00514      K02121   91.27   10.0     0.045 V/A-type H+/Na+-transporting ATPase subunit E
  EBNMPBKG_00514      K14762  110.93    7.9      0.35 ribosome-associated protein
  EBNMPBKG_00514      K20478  237.57    4.3      0.32 golgin subfamily B member 1
  EBNMPBKG_00514      K03722  237.97    1.3       8.3 ATP-dependent DNA helicase DinG [EC:3.6.4.12]
* EBNMPBKG_00515      K06177  234.33  265.4   1.1e-79 tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]
  EBNMPBKG_00515      K06180  282.67  214.9   2.4e-64 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
  EBNMPBKG_00515      K06179  327.40  189.2   1.3e-56 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
  EBNMPBKG_00515      K06175  227.87  165.7   1.7e-49 tRNA pseudouridine65 synthase [EC:5.4.99.26]
  EBNMPBKG_00515      K07146  150.47   21.6   8.8e-06 UPF0176 protein
  EBNMPBKG_00515      K06183  291.90   12.4    0.0054 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]
* EBNMPBKG_00516      K02441  166.60  198.2   2.3e-59 GlpG protein
  EBNMPBKG_00516      K19225  132.47   94.4   6.5e-28 rhomboid protease GluP [EC:3.4.21.105]
  EBNMPBKG_00516      K07059  146.03   73.7   1.3e-21 uncharacterized protein
  EBNMPBKG_00516      K09650  136.43   39.3   3.9e-11 rhomboid-like protein [EC:3.4.21.105]
  EBNMPBKG_00516      K23675   48.43    9.5     0.091 riboflavin transporter
  EBNMPBKG_00516      K02643   37.43    9.4     0.078 cytochrome b6-f complex subunit 7
* EBNMPBKG_00517      K02444  265.23  366.5  9.2e-111 DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
  EBNMPBKG_00517      K03436  279.97  241.8   9.4e-73 DeoR family transcriptional regulator, fructose operon transcriptional repressor
  EBNMPBKG_00517      K02081  287.30  214.0   1.8e-64 DeoR family transcriptional regulator, aga operon transcriptional repressor
  EBNMPBKG_00517      K22103  258.57  208.9   6.9e-63 DeoR family transcriptional regulator, carbon catabolite repression regulator
  EBNMPBKG_00517      K02530  236.13  169.1   1.1e-50 DeoR family transcriptional regulator, lactose phosphotransferase system repressor
  EBNMPBKG_00517      K06608  264.03  158.5   1.9e-47 DeoR family transcriptional regulator, myo-inositol catabolism operon repressor
  EBNMPBKG_00517      K02468  282.63  153.5   7.2e-46 DeoR family transcriptional regulator, glucitol operon repressor
  EBNMPBKG_00517      K02430  254.53  149.8     8e-45 DeoR family transcriptional regulator, L-fucose operon activator
  EBNMPBKG_00517      K02436  302.67  140.3   6.1e-42 DeoR family transcriptional regulator, galactitol utilization operon repressor
  EBNMPBKG_00517      K03477  264.77  126.8   9.1e-38 DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor
  EBNMPBKG_00517      K11534  216.87  124.8   3.1e-37 DeoR family transcriptional regulator, deoxyribose operon repressor
  EBNMPBKG_00517      K20271  483.37  112.7   1.5e-33 DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer
  EBNMPBKG_00517      K18288  581.67   26.5   2.1e-07 itaconate CoA-transferase [EC:2.8.3.-]
