SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	VICTORS_ID	DESCRIPTION
HFACCJHN_01770	1	428	+	3-phosphoshikimate_1-carboxyvinyltransferase	1-428/432	0/0	99.07	86.7	victors	YP_001651710.1	Victors_165976117	gi|165976117|ref|YP_001651710.1| 3-phosphoshikimate 1-carboxyvinyltransferase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01798	4	163	+	phosphoribosylaminoimidazole_carboxylase_catalyic_subunit	2-161/163	0/0	98.16	65.6	victors	YP_169893.1	Victors_56707997	gi|56707997|ref|YP_169893.1| phosphoribosylaminoimidazole carboxylase catalyic subunit [Francisella tularensis subsp. tularensis SCHU S4]
HFACCJHN_01830	1	331	+	fructose-1,6-bisphosphatase	4-334/336	0/0	98.51	71.3	victors	YP_001218038.1	Victors_147674062	gi|147674062|ref|YP_001218038.1| fructose-1,6-bisphosphatase [Vibrio cholerae O395]
HFACCJHN_01835	5	234	+	thiol-disulfide_interchange_protein	1-230/231	0/0	99.57	97.4	victors	NP_439371.2	Victors_30995432	gi|30995432|ref|NP_439371.2| thiol-disulfide interchange protein [Haemophilus influenzae Rd KW20]
HFACCJHN_01843	1	504	+	amidophosphoribosyltransferase	1-502/504	4/6	99.21	67.4	victors	YP_001216476.1	Victors_147673131	gi|147673131|ref|YP_001216476.1| amidophosphoribosyltransferase [Vibrio cholerae O395]
HFACCJHN_01847	1	711	+	phosphate_acetyltransferase	1-711/714	2/2	99.44	69.5	victors	YP_001216565.1	Victors_147675254	gi|147675254|ref|YP_001216565.1| phosphate acetyltransferase [Vibrio cholerae O395]
HFACCJHN_01853	1	287	+	succinyl-CoA_synthetase_subunit_alpha	1-287/290	0/0	98.97	70.4	victors	YP_169538.1	Victors_56707642	gi|56707642|ref|YP_169538.1| succinyl-CoA synthetase subunit alpha [Francisella tularensis subsp. tularensis SCHU S4]
HFACCJHN_01857	4	343	+	branched-chain_amino_acid_aminotransferase	5-340/340	2/6	98.53	70.7	victors	NP_345345.1	Victors_15900741	gi|15900741|ref|NP_345345.1| branched-chain amino acid aminotransferase [Streptococcus pneumoniae TIGR4]
HFACCJHN_01868	1	192	+	phosphoheptose_isomerase	1-192/192	0/0	100.0	76.0	victors	NP_454922.1	Victors_16759305	gi|16759305|ref|NP_454922.1| phosphoheptose isomerase [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
HFACCJHN_01889	1	314	+	thioredoxin_reductase	1-315/321	1/1	97.82	76.5	victors	NP_286765.1	Victors_15800751	gi|15800751|ref|NP_286765.1| thioredoxin reductase [Escherichia coli O157:H7 str. EDL933]
HFACCJHN_01950	1	643	+	cytochrome_c-type_biogenesis_protein_CcmF	1-644/651	1/1	98.77	63.2	victors	YP_001217579.1	Victors_147674378	gi|147674378|ref|YP_001217579.1| cytochrome c-type biogenesis protein CcmF [Vibrio cholerae O395]
HFACCJHN_02013	1	165	+	hypothetical_protein_NMB1012	1-165/167	0/0	98.8	65.5	victors	NP_274047.1	Victors_15676901	gi|15676901|ref|NP_274047.1| hypothetical protein NMB1012 [Neisseria meningitidis MC58]
HFACCJHN_02032	7	806	+	anaerobic_dimethyl_sulfoxide_reductase_subunit_A	3-805/805	3/3	99.38	85.3	victors	YP_001652701.1	Victors_165977108	gi|165977108|ref|YP_001652701.1| anaerobic dimethyl sulfoxide reductase subunit A [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
