# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* HOLGGCEK_00001      K03495  294.00 1004.9  2.4e-303 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
  HOLGGCEK_00221      K16013  510.50  156.4   1.1e-46 ATP-binding cassette, subfamily C, bacterial CydD
  HOLGGCEK_00221      K15497  378.10  155.8   1.9e-46 molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6]
  HOLGGCEK_00221      K02017  359.33  155.7     2e-46 molybdate transport system ATP-binding protein [EC:7.3.2.5]
  HOLGGCEK_00221      K06148  581.00  153.4     8e-46 ATP-binding cassette, subfamily C, bacterial
  HOLGGCEK_00221      K16784  271.17  152.8   1.1e-45 biotin transport system ATP-binding protein [EC:7.6.2.-]
  HOLGGCEK_00221      K09695  345.43  152.3   1.6e-45 lipooligosaccharide transport system ATP-binding protein
  HOLGGCEK_00221      K02049  347.90  150.8   6.2e-45 NitT/TauT family transport system ATP-binding protein
  HOLGGCEK_00221      K06147  622.70  150.3   7.7e-45 ATP-binding cassette, subfamily B, bacterial
  HOLGGCEK_00221      K02003  293.10  147.4   6.3e-44 putative ABC transport system ATP-binding protein
  HOLGGCEK_00221      K20344  769.87  146.2   8.9e-44 ATP-binding cassette, subfamily C, bacteriocin exporter
  HOLGGCEK_00221      K02065  294.23  146.2   1.3e-43 phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
  HOLGGCEK_00221      K09697  279.93  145.2   1.8e-43 sodium transport system ATP-binding protein [EC:7.2.2.4]
  HOLGGCEK_00221      K02010  436.07  144.9   2.4e-43 iron(III) transport system ATP-binding protein [EC:7.2.2.7]
  HOLGGCEK_00221      K16012  452.43  144.6   3.6e-43 ATP-binding cassette, subfamily C, bacterial CydC
  HOLGGCEK_00221      K06861  278.37  143.2   1.3e-42 lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
  HOLGGCEK_00221      K02032  399.13  141.3   3.9e-42 peptide/nickel transport system ATP-binding protein
  HOLGGCEK_00221      K02062  410.03  141.0   5.9e-42 thiamine transport system ATP-binding protein [EC:7.6.2.15]
  HOLGGCEK_00221      K02193  194.90  140.7   6.4e-42 heme exporter protein A [EC:7.6.2.5]
  HOLGGCEK_00221      K02031  395.20  140.7   6.6e-42 peptide/nickel transport system ATP-binding protein
  HOLGGCEK_00221      K01995  314.03  140.3   8.3e-42 branched-chain amino acid transport system ATP-binding protein
  HOLGGCEK_00221      K09810  332.03  139.5   1.3e-41 lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]
  HOLGGCEK_00221      K16921  284.73  139.1   1.3e-41 acetoin utilization transport system ATP-binding protein
  HOLGGCEK_00221      K02068  246.37  136.9   9.3e-41 UDP-glucose/iron transport system ATP-binding protein
  HOLGGCEK_00221      K02021  513.30  136.5   9.5e-41 putative ABC transport system ATP-binding protein
  HOLGGCEK_00221      K11050  352.17  136.4     1e-40 multidrug/hemolysin transport system ATP-binding protein
  HOLGGCEK_00221      K12541  666.57  136.0     1e-40 ATP-binding cassette, subfamily C, bacterial LapB
  HOLGGCEK_00221      K16014  920.83  135.2   2.1e-40 ATP-binding cassette, subfamily C, bacterial CydCD
  HOLGGCEK_00221      K02056  507.23  134.6   4.2e-40 simple sugar transport system ATP-binding protein [EC:7.5.2.-]
  HOLGGCEK_00221      K06074  240.47  134.1   5.2e-40 vitamin B12 transport system ATP-binding protein [EC:7.6.2.8]
  HOLGGCEK_00221      K15600  258.30  132.0   1.9e-39 putative hydroxymethylpyrimidine transport system ATP-binding protein
  HOLGGCEK_00221      K18889  664.70  131.7   2.8e-39 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K02071  329.70  131.4   4.4e-39 D-methionine transport system ATP-binding protein
  HOLGGCEK_00221      K02052  501.10  131.3   5.2e-39 putative spermidine/putrescine transport system ATP-binding protein
  HOLGGCEK_00221      K20490  294.70  131.1   3.4e-39 lantibiotic transport system ATP-binding protein
  HOLGGCEK_00221      K21397  381.93  131.1   4.3e-39 ABC transport system ATP-binding/permease protein
  HOLGGCEK_00221      K24846  517.97  129.7   9.4e-39 ATP-binding cassette, subfamily B, bacterial PglK [EC:7.5.2.-]
  HOLGGCEK_00221      K05776  298.33  129.4   1.6e-38 molybdate transport system ATP-binding protein
  HOLGGCEK_00221      K10824  305.80  128.6   2.7e-38 nickel transport system ATP-binding protein [EC:7.2.2.11]
  HOLGGCEK_00221      K15555  313.20  128.3   3.9e-38 sulfonate transport system ATP-binding protein [EC:7.6.2.14]
  HOLGGCEK_00221      K10831  339.77  126.5   1.1e-37 taurine transport system ATP-binding protein [EC:7.6.2.7]
  HOLGGCEK_00221      K11072  498.73  126.5   1.2e-37 spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]
  HOLGGCEK_00221      K10820  639.67  125.8   1.6e-37 galactofuranose transport system ATP-binding protein [EC:7.5.2.9]
  HOLGGCEK_00221      K10112  531.00  125.1   3.6e-37 multiple sugar transport system ATP-binding protein
  HOLGGCEK_00221      K20459  368.60  124.2   6.2e-37 lantibiotic transport system ATP-binding protein
  HOLGGCEK_00221      K10562  701.97  122.4   1.5e-36 rhamnose transport system ATP-binding protein [EC:7.5.2.-]
  HOLGGCEK_00221      K11085  724.80  121.3   2.4e-36 ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]
  HOLGGCEK_00221      K05847  355.60  121.3   6.1e-36 osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
  HOLGGCEK_00221      K01996  320.93  119.6   1.9e-35 branched-chain amino acid transport system ATP-binding protein
  HOLGGCEK_00221      K13896  797.47  119.1   1.9e-35 microcin C transport system ATP-binding protein
  HOLGGCEK_00221      K10823  490.13  118.9   2.8e-35 oligopeptide transport system ATP-binding protein
  HOLGGCEK_00221      K10038  395.67  118.8   1.8e-35 glutamine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K02028  376.20  118.8   2.6e-35 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K11963  283.10  118.6     2e-35 urea transport system ATP-binding protein
  HOLGGCEK_00221      K23537  585.10  118.2   3.1e-35 general nucleoside transport system ATP-binding protein
  HOLGGCEK_00221      K13926  850.70  117.0   5.4e-35 ribosome-dependent ATPase
  HOLGGCEK_00221      K17240  489.33  115.3   2.6e-34 inositol-phosphate transport system ATP-binding protein
  HOLGGCEK_00221      K11084  428.67  115.0   3.1e-34 2-aminoethylphosphonate transport system ATP-binding protein
  HOLGGCEK_00221      K14698  616.33  114.7     4e-34 ATP-binding cassette, subfamily B, bacterial IrtA/YbtP [EC:7.-.-.-]
  HOLGGCEK_00221      K16907  356.07  114.1   6.1e-34 fluoroquinolone transport system ATP-binding protein [EC:7.6.2.-]
  HOLGGCEK_00221      K19309  421.43  113.9   8.4e-34 bacitracin transport system ATP-binding protein
  HOLGGCEK_00221      K02045  443.83  113.8     1e-33 sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
  HOLGGCEK_00221      K15583  505.27  113.8   7.9e-34 oligopeptide transport system ATP-binding protein
  HOLGGCEK_00221      K10010  381.80  113.7   7.5e-34 L-cystine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K09814  291.60  112.9   1.2e-33 hemin transport system ATP-binding protein [EC:7.6.2.-]
  HOLGGCEK_00221      K12536  499.00  112.2     2e-33 ATP-binding cassette, subfamily C, type I secretion system permease/ATPase
  HOLGGCEK_00221      K14699  603.53  112.0   3.1e-33 ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]
  HOLGGCEK_00221      K17215  730.17  110.8     5e-33 inositol transport system ATP-binding protein
  HOLGGCEK_00221      K23060  409.47  110.5   6.4e-33 arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K18104  618.43  110.5   5.9e-33 ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]
  HOLGGCEK_00221      K10545  327.20  110.0   1.1e-32 D-xylose transport system ATP-binding protein [EC:7.5.2.10]
  HOLGGCEK_00221      K11635  382.43  109.8   1.2e-32 putative ABC transport system ATP-binding protein
  HOLGGCEK_00221      K15587  334.70  109.3   1.7e-32 nickel transport system ATP-binding protein [EC:7.2.2.11]
  HOLGGCEK_00221      K10111  532.93  108.8   2.6e-32 multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
  HOLGGCEK_00221      K11004  957.20  108.7   2.2e-32 ATP-binding cassette, subfamily B, bacterial HlyB/CyaB
  HOLGGCEK_00221      K05816  518.60  108.2   4.5e-32 sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]
  HOLGGCEK_00221      K13409  689.87  107.3     5e-32 ATP-binding cassette, subfamily B, bacterial CvaB/MchF/RaxB
  HOLGGCEK_00221      K16960  398.73  106.5   1.2e-31 L-cystine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K13892  956.43  105.9   1.7e-31 glutathione transport system ATP-binding protein
  HOLGGCEK_00221      K20485  585.63  105.8   1.7e-31 ATP-binding cassette, subfamily B, bacterial NisT/SpaT
  HOLGGCEK_00221      K15578  427.17  105.7   2.4e-31 nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]
  HOLGGCEK_00221      K10822  138.23  105.0   3.7e-31 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
  HOLGGCEK_00221      K10539  699.13  104.8   2.8e-31 L-arabinose transport system ATP-binding protein [EC:7.5.2.12]
  HOLGGCEK_00221      K09972  441.03  104.1   5.3e-31 general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K05665 1609.37  104.1   4.1e-31 ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]
  HOLGGCEK_00221      K11076  483.03  103.3   9.9e-31 putrescine transport system ATP-binding protein [EC:7.6.2.16]
  HOLGGCEK_00221      K05685  537.13  103.2   1.1e-30 macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]
  HOLGGCEK_00221      K11958  375.13  102.2   2.5e-30 neutral amino acid transport system ATP-binding protein
  HOLGGCEK_00221      K02036  255.50  102.2   2.9e-30 phosphate transport system ATP-binding protein [EC:7.3.2.1]
  HOLGGCEK_00221      K23547  642.20  101.7   3.3e-30 sugar transport system ATP-binding protein
  HOLGGCEK_00221      K17204  627.63  101.7   2.6e-30 erythritol transport system ATP-binding protein
  HOLGGCEK_00221      K16963  393.27  101.7   3.3e-30 putative S-methylcysteine transport system ATP-binding protein
  HOLGGCEK_00221      K10041  406.50  101.6   3.3e-30 aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K17076  375.67  101.5   3.8e-30 putative lysine transport system ATP-binding protein
  HOLGGCEK_00221      K00400  550.73  100.9   6.2e-30 methyl coenzyme M reductase system, component A2
  HOLGGCEK_00221      K17324  369.60  100.8   6.2e-30 glycerol transport system ATP-binding protein
  HOLGGCEK_00221      K06158  580.93  100.8   6.5e-30 ATP-binding cassette, subfamily F, member 3
  HOLGGCEK_00221      K16920  345.40  100.7   7.2e-30 acetoin utilization transport system ATP-binding protein
  HOLGGCEK_00221      K19230  330.53   99.9   1.3e-29 cationic peptide transport system ATP-binding protein
  HOLGGCEK_00221      K05780  229.80   99.9   1.3e-29 alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]
  HOLGGCEK_00221      K18232  469.97   99.6     2e-29 oleandomycin transport system ATP-binding protein
  HOLGGCEK_00221      K10004  408.20   99.5   1.5e-29 glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K11962  317.53   99.4   1.9e-29 urea transport system ATP-binding protein
  HOLGGCEK_00221      K24949  365.97   98.9   2.3e-29 antimicrobial peptide resistance transport system ATP-binding protein [EC:7.6.2.-]
  HOLGGCEK_00221      K15738  633.23   98.6   2.7e-29 ABC transport system ATP-binding/permease protein
  HOLGGCEK_00221      K05833  184.70   98.3   3.6e-29 putative tryptophan/tyrosine transport system ATP-binding protein
  HOLGGCEK_00221      K10554  390.77   97.9   5.7e-29 fructose transport system ATP-binding protein
  HOLGGCEK_00221      K10558  574.93   97.3   7.3e-29 AI-2 transport system ATP-binding protein
  HOLGGCEK_00221      K18887  706.87   97.0   7.7e-29 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K12292 1390.20   96.4   1.4e-28 ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]
  HOLGGCEK_00221      K12371  494.00   95.5   2.9e-28 dipeptide transport system ATP-binding protein
  HOLGGCEK_00221      K24819  791.70   95.3   2.9e-28 ATP-binding cassette, subfamily B, beta-glucan exporter [EC:7.5.2.3]
  HOLGGCEK_00221      K24712 1113.77   94.6   3.5e-28 D-galactose transport system ATP-binding protein [EC:7.5.2.11]
  HOLGGCEK_00221      K18890  711.33   94.3   5.2e-28 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K17325  441.30   93.1   1.6e-27 glycerol transport system ATP-binding protein
  HOLGGCEK_00221      K11080  507.77   92.9   1.7e-27 mannopine transport system ATP-binding protein
  HOLGGCEK_00221      K10008  419.40   91.6   3.5e-27 glutamate transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K18216  852.50   91.5   3.5e-27 ATP-binding cassette, subfamily B, tetracycline resistant protein
  HOLGGCEK_00221      K10199  482.83   91.4   5.2e-27 glucose/arabinose transport system ATP-binding protein
  HOLGGCEK_00221      K11631  409.53   91.4   5.3e-27 bacitracin transport system ATP-binding protein
  HOLGGCEK_00221      K17207  725.97   91.1   5.7e-27 putative xylitol transport system ATP-binding protein
  HOLGGCEK_00221      K24821  862.80   90.7   5.8e-27 ATP-binding cassette, subfamily B, heavy metal transporter
  HOLGGCEK_00221      K15579  423.83   90.5   9.3e-27 nitrate/nitrite transport system ATP-binding protein
  HOLGGCEK_00221      K10542  730.20   89.9   1.2e-26 methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11]
  HOLGGCEK_00221      K24708  677.63   87.9   3.9e-26 ATP-binding cassette, subfamily B, putative efflux pump [EC:7.6.2.-]
  HOLGGCEK_00221      K02471  423.33   87.9   4.1e-26 vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
  HOLGGCEK_00221      K05666 1809.23   87.7     2e-26 ATP-binding cassette, subfamily C (CFTR/MRP), member 2
  HOLGGCEK_00221      K23058  443.10   87.6   6.5e-26 putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K17210  668.87   87.6   5.8e-26 inositol transport system ATP-binding protein
  HOLGGCEK_00221      K19083  405.17   87.4   7.3e-26 bacitracin transport system ATP-binding protein
  HOLGGCEK_00221      K05779  229.87   87.1   9.2e-26 putative thiamine transport system ATP-binding protein
  HOLGGCEK_00221      K10021  430.80   86.7   1.1e-25 octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K10551  678.97   85.8   2.2e-25 D-allose transport system ATP-binding protein [EC:7.5.2.8]
  HOLGGCEK_00221      K18893  780.17   85.5   2.6e-25 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K12372  454.97   85.1   5.1e-25 dipeptide transport system ATP-binding protein
  HOLGGCEK_00221      K10025  455.37   84.5   5.8e-25 arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K10191  553.63   84.5   6.8e-25 lactose/L-arabinose transport system ATP-binding protein
  HOLGGCEK_00221      K11957  373.70   83.6   9.2e-25 neutral amino acid transport system ATP-binding protein
  HOLGGCEK_00221      K10000  348.87   83.2   1.7e-24 arginine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K10441  709.70   83.2   1.3e-24 ribose transport system ATP-binding protein [EC:7.5.2.7]
  HOLGGCEK_00221      K20386       -   82.6   1.6e-24 ATP-binding cassette, subfamily B, bacterial CylB
  HOLGGCEK_00221      K09693  382.27   82.4   3.3e-24 teichoic acid transport system ATP-binding protein [EC:7.5.2.4]
  HOLGGCEK_00221      K06160  581.33   82.4   2.2e-24 putative pyoverdin transport system ATP-binding/permease protein
  HOLGGCEK_00221      K10548  728.90   82.2   2.5e-24 putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
  HOLGGCEK_00221      K06159  568.50   82.0   2.8e-24 multidrug/microcin transport system ATP-binding/permease protein
  HOLGGCEK_00221      K09812  292.07   82.0   4.8e-24 cell division transport system ATP-binding protein
  HOLGGCEK_00221      K06020  634.97   81.9   4.3e-24 energy-dependent translational throttle protein EttA
  HOLGGCEK_00221      K17063  443.53   81.9   4.2e-24 arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K19079  442.77   79.3   2.3e-23 cationic antimicrobial peptide transport system ATP-binding protein
  HOLGGCEK_00221      K16202  569.93   78.9   2.8e-23 dipeptide transport system ATP-binding protein
  HOLGGCEK_00221      K09013  164.80   78.8   3.1e-23 Fe-S cluster assembly ATP-binding protein
  HOLGGCEK_00221      K24910  513.23   78.2   4.2e-23 ATP-binding cassette, subfamily B, bacterial RamA/AmfB
  HOLGGCEK_00221      K11953  527.57   78.1   5.4e-23 bicarbonate transport system ATP-binding protein [EC:7.3.2.-]
  HOLGGCEK_00221      K11952 1189.93   78.1     5e-23 bicarbonate transport system ATP-binding protein [EC:7.3.2.-]
  HOLGGCEK_00221      K24911  474.00   75.7   2.6e-22 ATP-binding cassette, subfamily B, bacterial RamB/AmfA
  HOLGGCEK_00221      K12531  996.53   75.4   2.5e-22 ATP-binding cassette, subfamily B, bacterial RtxE
  HOLGGCEK_00221      K23513  732.80   74.2   5.8e-22 riboflavin transport system ATP-binding protein
  HOLGGCEK_00221      K19350  365.87   73.9   1.1e-21 lincosamide and streptogramin A transport system ATP-binding/permease protein
  HOLGGCEK_00221      K17314  477.43   73.0   1.8e-21 trehalose transport system ATP-binding protein
  HOLGGCEK_00221      K18895 2293.67   72.4   1.4e-21 ATP-binding cassette, subfamily B, salmochelin/enterobactin exporter
  HOLGGCEK_00221      K21480  201.07   71.2   5.8e-21 heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]
  HOLGGCEK_00221      K23064  411.13   71.2   6.2e-21 hydroxyproline transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K18888  706.20   70.9   6.6e-21 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K10195  580.17   70.8   8.7e-21 oligogalacturonide transport system ATP-binding protein
  HOLGGCEK_00221      K24820 1115.40   68.9   2.6e-20 ATP-binding cassette, subfamily B, fatty acid transporter
  HOLGGCEK_00221      K12530  976.60   68.6   3.6e-20 ATP-binding cassette, subfamily B, bacterial RtxB
  HOLGGCEK_00221      K18891  788.30   68.3   3.7e-20 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K10235  556.27   63.9   1.1e-18 alpha-glucoside transport system ATP-binding protein
  HOLGGCEK_00221      K06174  279.07   63.3   1.4e-18 ATP-binding cassette, sub-family E, member 1
  HOLGGCEK_00221      K10017  469.17   62.3   3.4e-18 histidine transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00221      K02000  399.53   60.6   1.4e-17 glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]
  HOLGGCEK_00221      K18217  818.97   60.2   1.1e-17 ATP-binding cassette, subfamily B, tetracycline resistant protein
  HOLGGCEK_00221      K19349  649.47   59.1   2.5e-17 pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein
  HOLGGCEK_00221      K07128  138.13   59.0   3.1e-17 uncharacterized protein
  HOLGGCEK_00221      K02069  171.43   58.2   5.8e-17 UDP-glucose/iron transport system permease protein
  HOLGGCEK_00221      K03701  370.63   55.7   1.8e-16 excinuclease ABC subunit A
  HOLGGCEK_00221      K05781  277.20   54.5   8.6e-16 putative phosphonate transport system ATP-binding protein
  HOLGGCEK_00221      K02034  266.17   54.3   9.4e-16 peptide/nickel transport system permease protein
  HOLGGCEK_00221      K02018  245.83   53.6   1.4e-15 molybdate transport system permease protein
  HOLGGCEK_00221      K05674 1496.80   50.9   4.5e-15 ATP-binding cassette, subfamily C (CFTR/MRP), member 10
  HOLGGCEK_00221      K15558       -   49.5   3.8e-14 phthalate transport system ATP-binding protein
  HOLGGCEK_00221      K18892  766.33   48.1     5e-14 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K06161 1053.50   47.8   6.9e-14 putative syringomycin transport system ATP-binding/permease protein
  HOLGGCEK_00221      K16917  222.10   46.3   3.9e-13 putative peptide transport system ATP-binding protein
  HOLGGCEK_00221      K18894 2140.17   46.0   1.3e-13 ATP-binding cassette, subfamily B, multidrug efflux pump
  HOLGGCEK_00221      K09691  389.20   44.4   1.2e-12 lipopolysaccharide transport system ATP-binding protein
  HOLGGCEK_00221      K18231  454.87   43.0     2e-12 macrolide transport system ATP-binding/permease protein
  HOLGGCEK_00221      K18230  480.77   40.8   8.8e-12 macrolide transport system ATP-binding/permease protein
  HOLGGCEK_00221      K19229  463.93   34.6   9.9e-10 cationic peptide transport system ATP-binding protein
  HOLGGCEK_00221      K09689  222.77   32.8   4.2e-09 capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
  HOLGGCEK_00221      K03546  166.57   25.6   4.1e-07 DNA repair protein SbcC/Rad50
  HOLGGCEK_00221      K02029  219.97   25.3   6.3e-07 polar amino acid transport system permease protein
  HOLGGCEK_00221      K07459  139.47   25.2   4.7e-07 putative ATP-dependent endonuclease of the OLD family
  HOLGGCEK_00221      K01998  242.57   24.2   1.1e-06 branched-chain amino acid transport system permease protein
  HOLGGCEK_00221      K03529  565.80   21.4   3.9e-06 chromosome segregation protein
  HOLGGCEK_00221      K01426  307.73   21.4   1.1e-05 amidase [EC:3.5.1.4]
  HOLGGCEK_00221      K06926   96.60   21.0   1.3e-05 uncharacterized protein
  HOLGGCEK_00221      K10544  407.07   19.2   3.2e-05 D-xylose transport system permease protein
  HOLGGCEK_00221      K10837  112.90   16.1   0.00046 O-phosphoseryl-tRNA(Sec) kinase [EC:2.7.1.164]
  HOLGGCEK_00221      K06949  100.63   12.9    0.0041 ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
  HOLGGCEK_00221      K09811   78.50   12.7    0.0042 cell division transport system permease protein
  HOLGGCEK_00221      K23148  173.27   12.4    0.0096 cytidine diphosphoramidate kinase [EC:2.7.1.224]
  HOLGGCEK_00221      K03629  116.43   11.8    0.0065 DNA replication and repair protein RecF
  HOLGGCEK_00221      K00942  186.93   11.3     0.012 guanylate kinase [EC:2.7.4.8]
  HOLGGCEK_00221      K03631  138.60   11.1    0.0094 DNA repair protein RecN (Recombination protein N)
  HOLGGCEK_00221      K06948  242.40    9.8     0.032 30S ribosome assembly GTPase
  HOLGGCEK_00221      K19171  178.13    8.9     0.047 DNA sulfur modification protein DndD
  HOLGGCEK_00221      K07331  151.93    8.7     0.097 archaeal flagellar protein FlaH
* HOLGGCEK_00222      K11605  398.00  466.2  4.3e-141 manganese/iron transport system permease protein
  HOLGGCEK_00222      K11602  391.73  327.0   8.3e-99 manganese transport system permease protein
  HOLGGCEK_00222      K09819  392.20  317.7   1.4e-95 manganese/iron transport system permease protein
  HOLGGCEK_00222      K11606  376.53  294.8   6.3e-89 manganese/iron transport system permease protein
  HOLGGCEK_00222      K19976  363.90  274.9   6.6e-83 manganese transport system permease protein
  HOLGGCEK_00222      K09816  278.67  226.8   4.2e-68 zinc transport system permease protein
  HOLGGCEK_00222      K02075  266.80  216.3   4.6e-65 zinc/manganese transport system permease protein
  HOLGGCEK_00222      K11709  281.33  215.3   1.7e-64 manganese/zinc/iron transport system permease protein
  HOLGGCEK_00222      K11708  272.67  214.0     4e-64 manganese/zinc/iron transport system permease protein
  HOLGGCEK_00222      K19972  515.70  213.2     5e-64 manganese/zinc transport system permease protein
  HOLGGCEK_00222      K11705  482.83  193.0   7.3e-58 iron/zinc/manganese/copper transport system permease protein
  HOLGGCEK_00222      K02015   74.10   25.8   3.5e-07 iron complex transport system permease protein
  HOLGGCEK_00222      K23228  487.63   23.2   1.9e-06 ferric hydroxamate transport system permease protein
  HOLGGCEK_00222      K23182  358.57   19.9   2.7e-05 ferric citrate transport system permease protein
  HOLGGCEK_00222      K23183  373.83   17.6   0.00015 ferric citrate transport system permease protein
  HOLGGCEK_00222      K16648  325.13    6.5      0.12 arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-]
  HOLGGCEK_00222      K02025  270.30    6.5      0.27 multiple sugar transport system permease protein
  HOLGGCEK_00222      K07240   44.47    4.8       1.1 chromate transporter
  HOLGGCEK_00222      K08975  202.23    1.6        12 putative membrane protein
  HOLGGCEK_00222      K19353  287.30    0.6        17 heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]
* HOLGGCEK_00223      K11606  376.53  431.6  1.3e-130 manganese/iron transport system permease protein
  HOLGGCEK_00223      K11602  391.73  364.1  4.2e-110 manganese transport system permease protein
  HOLGGCEK_00223      K09819  392.20  316.8   2.5e-95 manganese/iron transport system permease protein
  HOLGGCEK_00223      K19976  363.90  294.6   6.6e-89 manganese transport system permease protein
  HOLGGCEK_00223      K11605  398.00  289.4   3.2e-87 manganese/iron transport system permease protein
  HOLGGCEK_00223      K09816  278.67  258.9   7.3e-78 zinc transport system permease protein
  HOLGGCEK_00223      K02075  266.80  242.8   3.8e-73 zinc/manganese transport system permease protein
  HOLGGCEK_00223      K19972  515.70  224.9   1.3e-67 manganese/zinc transport system permease protein
  HOLGGCEK_00223      K11709  281.33  221.4   2.5e-66 manganese/zinc/iron transport system permease protein
  HOLGGCEK_00223      K11708  272.67  211.1     3e-63 manganese/zinc/iron transport system permease protein
  HOLGGCEK_00223      K11705  482.83  201.5     2e-60 iron/zinc/manganese/copper transport system permease protein
  HOLGGCEK_00223      K23228  487.63   19.8     2e-05 ferric hydroxamate transport system permease protein
  HOLGGCEK_00223      K02015   74.10   13.7    0.0017 iron complex transport system permease protein
  HOLGGCEK_00223      K07027  101.50    7.2      0.27 glycosyltransferase 2 family protein
  HOLGGCEK_00223      K24040  612.13    3.8      0.89 energy-coupling factor transport system permease/ATP-binding protein [EC:7.-.-.-]
  HOLGGCEK_00223      K08975  202.23    2.0       8.7 putative membrane protein
  HOLGGCEK_00223      K01992   18.90   -0.1        35 ABC-2 type transport system permease protein
* HOLGGCEK_00224      K03707  201.07  243.4   2.6e-73 thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
  HOLGGCEK_00224      K20896  107.70   53.5   1.8e-15 formylaminopyrimidine deformylase / aminopyrimidine aminohydrolase [EC:3.5.1.- 3.5.99.-]
  HOLGGCEK_00224      K06137   56.87   14.4    0.0019 pyrroloquinoline-quinone synthase [EC:1.3.3.11]
* HOLGGCEK_00225      K15598  230.50  433.6  3.7e-131 putative hydroxymethylpyrimidine transport system substrate-binding protein
* HOLGGCEK_00225      K02051  101.03  152.2   2.9e-45 NitT/TauT family transport system substrate-binding protein
  HOLGGCEK_00225      K15553  216.80  121.8   4.2e-36 sulfonate transport system substrate-binding protein
  HOLGGCEK_00225      K15551  227.43   57.7   1.1e-16 taurine transport system substrate-binding protein
  HOLGGCEK_00225      K07080   91.97   45.3   6.3e-13 uncharacterized protein
  HOLGGCEK_00225      K02030   76.53   35.8     4e-10 polar amino acid transport system substrate-binding protein
